ID,Status,Time,Score,Iterations,Graph6
1191,SUCCESS,0.04208874702453613,0.0947950937950921,1,K~~~~vV~~~^\
1466,SUCCESS,0.04722189903259277,1.4867142857142923,1,L?Z?c@ADCgB??o
981,SUCCESS,0.21652579307556152,0.06060606060606011,153,JfsQA?C?O?_
980,SUCCESS,0.3074507713317871,0.06818181818181834,122,JjHoK?GG?@?
1566,SUCCESS,0.2681565284729004,1.0,148,IK_oS?BS?
1178,FAILURE,120.0,-0.1333333333333333,117038,
886,FAILURE,120.0,0.0,107314,
1177,FAILURE,120.0,-0.1333333333333333,85829,
1880,SUCCESS,0.0558924674987793,1.0,51,GgKIQO
1587,FAILURE,120.0,-4.440892098500626e-16,58428,
1588,FAILURE,120.0,-1.0,84092,
1600,FAILURE,120.0,0.0,82256,
2117,SUCCESS,0.057235002517700195,0.4867142857142923,8,JtUDsAgWSS_
2041,SUCCESS,0.23688578605651855,0.25,135,GsCGSO
2051,SUCCESS,0.23005008697509766,0.25,247,QgICDm_?K@?GGO?GCC@??GW?_??
4247,SUCCESS,0.0770571231842041,1.0,40,NhGH?COA?CC??@O???_
4668,SUCCESS,0.0072367191314697266,1.3438571428571606,1,OhCGGCC@?CG?C?A?A?C??
4712,SUCCESS,0.0268096923828125,0.5,15,Ci
1601,FAILURE,120.0,-1.0,79695,
1708,FAILURE,120.0,0.0,69443,
1891,FAILURE,120.0,-0.5,81622,
2120,FAILURE,120.0,-0.5,66521,
2121,FAILURE,120.0,0.0,51567,
5952,FAILURE,120.0,-1.0,21779,
6179,SUCCESS,0.36770057678222656,0.016666666666666607,132,IM|kp@ke_
6180,SUCCESS,0.2763175964355469,4.440892098500626e-16,251,Huga?JO
6182,SUCCESS,0.12994766235351562,0.032926406926407026,62,KnvJbdr?`?X_
6181,SUCCESS,0.4128608703613281,0.1388888888888884,407,H`{PEOw
6268,SUCCESS,0.577888011932373,0.20588235294117752,265,PfNe`GAMEc?GMC?P?SEcO??G
6269,SUCCESS,0.17998719215393066,0.04365904365904427,112,L^mjdWA[a?MQOA
6272,SUCCESS,0.8358922004699707,0.07999999999999963,896,I~CGHA??G
5994,FAILURE,120.0,-1.1561428571428576,59765,
5996,FAILURE,120.0,-0.2561428571428581,24872,
5998,FAILURE,120.0,-1.1561428571428563,43082,
6352,SUCCESS,0.3086869716644287,0.04444444444444473,332,I~C_GCG_?
6000,FAILURE,120.0,-0.15614285714285758,19410,
6267,FAILURE,120.0,-1.1428571428571432,84498,
6278,FAILURE,120.0,-1.7198589062936742,110403,
6574,FAILURE,120.0,0.0,26563,
6582,FAILURE,120.0,-1.0,63071,
6903,FAILURE,120.0,-1.0,60235,
688,FAILURE,120.0,-0.3594771241830066,146971,
1021,SUCCESS,-0.05814957618713379,0.863636363636374,928,JnxL|YtUzm_
1793,SUCCESS,0.4565775394439697,0.01326513373750357,93,HcD@GOH
1892,SUCCESS,0.10771989822387695,1.0,166,IgGGo_C?G
713,FAILURE,120.0,-0.10915745673376187,93855,
737,FAILURE,120.0,-1.1933232180183495e-12,25738,
1337,SUCCESS,21.148326635360718,0.053968253968254665,25240,M\Sk\VWX~KbbqjpX_
1591,FAILURE,120.0,-0.625,96253,
1729,FAILURE,120.0,-0.6399999999999999,120903,
2882,SUCCESS,0.036820173263549805,0.75,23,HCPa?oC
2252,SUCCESS,0.17044377326965332,0.2574071787639731,176,NAA?AD_AoC?@G?P_A??
1917,FAILURE,120.0,-0.6307692307692307,128539,
1919,FAILURE,120.0,-0.7167832167832168,86265,
2129,FAILURE,120.0,-0.7,73017,
2131,FAILURE,120.0,-0.7167832167832168,80426,
3144,FAILURE,120.0,-7.777777777777778,86365,
3157,FAILURE,120.0,-28.333333333333332,73643,
3191,FAILURE,120.0,-11.11111111111111,78947,
3193,FAILURE,120.0,-28.333333333333332,106424,
3979,SUCCESS,0.7429370880126953,0.7538445154918838,296,I@b?`PCC_
3368,FAILURE,120.0,-1.0286950808601958,95954,
3961,SUCCESS,5.446098327636719,0.1065854565694746,1398,On~}w?D~f{~r~f~`~r~{|
3384,FAILURE,120.0,-19.420191754068,78855,
5983,SUCCESS,1.6113455295562744,0.004034724646563903,209,IywVOJi@O
5381,FAILURE,120.0,-0.021531100478468845,120676,
4288,FAILURE,120.0,-0.12637525876766847,6289,
3550,FAILURE,120.0,-17.11301398589365,18921,
6011,FAILURE,120.0,-0.3826086956521739,28303,
5421,FAILURE,120.0,-17.651528227481023,108478,
6124,FAILURE,120.0,0.19096045197740108,0,
6351,FAILURE,120.0,-2.5877445887445907,29,
5968,FAILURE,120.0,-0.6257364341085271,56778,
6013,FAILURE,120.0,-0.23261490683229802,14,
6270,FAILURE,120.0,-3.9440972993494476,10,
6020,FAILURE,120.0,-3.7772640988904893,0,
7206,SUCCESS,0.020861387252807617,41.59999999999991,5,Jb~Tzjhxxs?
7205,SUCCESS,0.03454017639160156,54.46153846153857,19,Jb~Tzjhhxs?
6466,SUCCESS,0.44510841369628906,0.004988960380655882,9,J~~~~~~~yS?
7213,SUCCESS,0.43073415756225586,0.8666666666665606,56,If~fzjxhw
6472,SUCCESS,0.6210730075836182,0.03130341817698046,18,J~~~~jx|~{?
7566,SUCCESS,0.2633669376373291,0.4890169685529884,12,J~~~~zx~wk?
6617,SUCCESS,1.1123414039611816,0.010496791958069657,98,HeIH?D?
7565,SUCCESS,1.193575143814087,3.922195901395753e-12,34,I~|~~~||w
7212,SUCCESS,1.8623101711273193,0.11111111111085847,153,Ir^\~fljg
7712,SUCCESS,2.1640937328338623,0.3052578272907738,141,HeKeecc
7711,SUCCESS,2.7283883094787598,0.44000371274074634,191,O~}FoG@@^s^P@S@S~P_Ie
7713,SUCCESS,2.141064167022705,0.030554055680499737,191,JPalIaMbiA?
7719,SUCCESS,0.6973509788513184,0.10229172362168182,128,KV~{??@~BW_W
7732,SUCCESS,0.5085489749908447,0.031578060026872024,47,O~~~~~~~~~~~q?GOGCQ?D
7734,SUCCESS,1.4688670635223389,0.12762633115351285,104,N~~~~~~~~~~~_C~~^~g
7743,SUCCESS,3.61903715133667,0.5452752919029749,370,OUma@GdHXJgOO`H]GOqCL
7718,SUCCESS,5.036936044692993,0.0160790548310632,458,T{Rd_QQ@GGqSAOchQSkdJch[CWCdJsdJsCWC
7811,SUCCESS,0.6574976444244385,0.956694449663706,64,O~~~~~~~{O^}~|~|~}~~n
7753,SUCCESS,3.3290090560913086,0.26849314180400663,419,JwffNKWEGp_
7813,SUCCESS,1.0218267440795898,0.07151382172527576,240,JAgoACB?{O?
7773,SUCCESS,2.0782418251037598,0.1121850304673826,200,MT}yDwAnO@?D?J?J_
7694,FAILURE,120.0,-0.6567007926090408,76635,
7695,FAILURE,120.0,-0.700116186789622,76036,
7703,FAILURE,120.0,-0.0004415567668646092,17944,
